name,lat,lon,date_bce,circle_pos,cluster,source,is_monumental,type
Tall-i Bakun A,29.913654,52.885685,-3816,341.18091749851123,Iran / Persia,p3k14c,False,radiocarbon
Tall-e Bakun A,29.913782648,52.8856366571,-6500,341.1809721696792,Iran / Persia,pleiades,False,settlement
Naqsh-i Rajab,29.966486,52.887043,-30,341.1850785897109,Iran / Persia,pleiades,False,"sanctuary, monument"
Kur/Araxes? (river),29.8548717575,52.8705970966,-550,341.1880043641246,Iran / Persia,pleiades,False,river
Naqsh-i Rustam,29.9886564584,52.8746054601,-750,341.1980337517732,Iran / Persia,pleiades,False,"cemetery, monument"
Investiture relief of Ardashir I,29.988580375,52.87459438,-540,341.1980356289496,Iran / Persia,pleiades,False,"cemetery, monument"
Ka'ba-ye Zartosht,29.9884865102,52.874030317,-540,341.1985122281802,Iran / Persia,pleiades,False,monument
Band-e Amīr/Tukrash?,29.758086,52.84161955,-550,341.2032783537011,Iran / Persia,pleiades,False,"settlement, settlement-modern"
Masumabad West,29.961872,52.766892,-550,341.28818095720953,Iran / Persia,pleiades,False,settlement
Majdabad,29.863774,52.692366,-550,341.3426907077139,Iran / Persia,pleiades,False,quarry
Barm-i Dilak,29.56797,52.653905,-30,341.3466213981203,Iran / Persia,pleiades,False,monument
Kuh-i Ayyub,29.981808,52.666503,-30,341.37669690147595,Iran / Persia,pleiades,True,temple
Mansurabad East/Rakkan?,29.889197,52.654231,-550,341.37811384160113,Iran / Persia,pleiades,False,settlement
Qasr-i Abu Nasr/Seraz/Tirazzish?/Shiraz(zish)?,29.59048485,52.57565215,-1200,341.4165645152384,Iran / Persia,pleiades,False,settlement
Tol-e Baši,30.08,52.59,-5400,341.4522976510301,Iran / Persia,p3k14c,False,radiocarbon
Tol-e Baši,30.08,52.59,-5305,341.4522976510301,Iran / Persia,p3k14c,False,radiocarbon
Tol-e Baši,30.08,52.59,-5493,341.4522976510301,Iran / Persia,p3k14c,False,radiocarbon
Tol-e Baši,30.08,52.59,-4310,341.4522976510301,Iran / Persia,p3k14c,False,radiocarbon
Tol-e Baši,30.08,52.59,-5038,341.4522976510301,Iran / Persia,p3k14c,False,radiocarbon
Tol-e Baši,30.08,52.59,-5335,341.4522976510301,Iran / Persia,p3k14c,False,radiocarbon
Tol-e Baši,30.08,52.59,-5666,341.4522976510301,Iran / Persia,p3k14c,False,radiocarbon
