name,lat,lon,type
"Milestone in Sutton High Street",51.365972,-0.194236,scheduled_monument
"Milestone outside No. 135 Cheam Road, Cheam",51.359590,-0.207285,scheduled_monument
"Milestone in Brighton Road",51.351781,-0.192468,scheduled_monument
"Medieval moated site 382m south-east of Brackenbury Farm",51.569786,-0.454231,scheduled_monument
"The London Greyfriars, site of, Newgate Street, Farringdon",51.515881,-0.099430,scheduled_monument
"Benedictine nunnery of St Mary, Clerkenwell",51.523384,-0.105720,scheduled_monument
"St John the Baptist's Church gateway, Howley Road",51.371636,-0.106429,scheduled_monument
"Burial mound on Winns Common, Plumstead",51.481313,0.096861,scheduled_monument
"Ickenham Manor Farm",51.556906,-0.440415,scheduled_monument
"Grim's Ditch: section N of Blythwood House",51.602913,-0.391375,scheduled_monument
"18th century garden feature at Hanworth Park",51.434726,-0.400843,scheduled_monument
"Hampton Court Palace",51.403595,-0.337549,scheduled_monument
"Chiswick House",51.483720,-0.258390,scheduled_monument
"Morden Park Mound",51.392710,-0.211453,scheduled_monument
"Croham Hurst round barrow",51.352291,-0.079854,scheduled_monument
"Regular aggregate field system, associated trackway and Anglo-Saxon barrow field on Farthing Downs, 490m east of Hooley Farm",51.306768,-0.137092,scheduled_monument
"Caesar's Camp, Wimbledon Common",51.425592,-0.240923,scheduled_monument
"Coombe Conduit",51.414811,-0.268718,scheduled_monument
"Gallows Conduit, Coombe",51.418267,-0.275031,scheduled_monument
"Dovecote, Beddington Park",51.372646,-0.140296,scheduled_monument
"Castle Hill earthwork, Chessington",51.357498,-0.291160,scheduled_monument
"Kew Palace (remains of)",51.483827,-0.295055,scheduled_monument
"Windmill Bridge",51.504291,-0.355342,scheduled_monument
"Clattern Bridge",51.408614,-0.306826,scheduled_monument
"Camp on Keston Common",51.357926,0.034915,scheduled_monument
"Holwood camp",51.355966,0.041579,scheduled_monument
"Iron Age settlement and Roman villa at Warbank, Keston",51.350530,0.029418,scheduled_monument
"Lesnes Abbey",51.488929,0.128872,scheduled_monument
