name,lat,lon,source,type_raw,subtype,date_bp,gc_distance_km,cluster
Prophitis Elias,38.504641,22.448292,pleiades,quarry,utilitarian,2500,1047.7,Other
Korykion Antron (Parnassos),38.5159209,22.5215268,pleiades,"sanctuary, cave",natural_cave,2700,1047.9,Other
Melissani Cave,38.257,20.6236,wikidata,megalithic_monument,natural_cave,,1048.2,Other
Monte Catalfaro,37.280398,14.7170002,pleiades,"mountain, settlement, wall-2",utilitarian,2700,1048.6,Other
Akdağmadeni,39.65837,35.854436,pleiades,mine-2,utilitarian,1980,1050.2,Other
Ampouria Parnassou,38.5682152,22.7059181,pleiades,"sanctuary, cave, settlement-modern",natural_cave,,1051.0,Other
Cenobio de Valeron,28.13889,-15.60434,megalithic_portal,Cave or Rock Shelter,natural_cave,,1052.2,Other
Areni-1 Cave,39.730361,45.203722,megalithic_portal,Cave or Rock Shelter,natural_cave,,1052.3,Other
Cave of Eumaeus,38.323436,20.745207,megalithic_portal,Cave or Rock Shelter,natural_cave,,1053.5,Other
Tomb Pico de la Aceituna,28.908486,-13.77983,megalithic_portal,Cave or Rock Shelter,rock_cut_monumental,,1054.0,Other
Unnamed iron mine,39.25,28.75,pleiades,mine-2,utilitarian,1980,1054.0,Other
Gavurkale,39.5312965,32.5587426,pleiades,"hill, monument",rock_cut_monumental,3950,1054.0,Other
Palike,37.329954,14.697361,pleiades,"sanctuary, settlement, architecturalcomplex",natural_cave,2700,1054.4,Other
Syreanos,39.386076,30.31044,pleiades,"unlocated, sanctuary",utilitarian,1980,1055.0,Other
Cave of the Nymphs,38.363119,20.703658,megalithic_portal,Cave or Rock Shelter,natural_cave,,1058.5,Other
Belum Caves,15.102346,78.111541,wikidata,megalithic_monument,natural_cave,,1059.6,Other
Montagna di Ramacca,37.385176,14.693465,pleiades,settlement,rock_cut_monumental,2700,1060.4,Other
Tomba del Timpano,37.3830326,14.6652855,pleiades,tomb,rock_cut_monumental,2700,1060.8,Other
Kybele Sanctuary at Kapikaya,39.1643216,27.1435634,pleiades,sanctuary,rock_cut_monumental,50,1061.0,Other
Sumaguing Cave,17.06673,120.90297,wikidata,megalithic_monument,natural_cave,,1061.3,Other
Khan Cave,39.7633454,46.7509322,wikidata,archaeological_site,natural_cave,,1061.4,Other
Ano Latomeia Kourtzi,39.109674,26.533825,pleiades,quarry,utilitarian,2500,1061.7,Other
Monte Grande,37.202363,13.663092,pleiades,mine-2,utilitarian,1980,1062.0,Other
Antron Kybeles/Mithra,39.174393,27.144941,pleiades,"sanctuary, cave, settlement-modern",natural_cave,2280,1062.1,Other
Bewah Cave,5.00916,102.6331,megalithic_portal,Cave or Rock Shelter,natural_cave,,1064.3,Southeast Asia
Moria,39.13257,26.516266,pleiades,"settlement, cemetery, mine-2",utilitarian,1980,1064.4,Other
Cueva de los Verdes,29.160784,-13.438686,wikidata,megalithic_monument,natural_cave,,1065.6,Other
Carmine Roman tomb,37.5097447,15.0888119,pleiades,tomb,utilitarian,1980,1066.0,Other
Untitled,35.369572,5.373027,pleiades,"feature, mine",utilitarian,1980,1066.3,Other
Erzurum,39.907998654,41.2760046426,pleiades,"fort-2, settlement",utilitarian,3150,1066.4,Other
Parco minerario di Floristella-Grottacalda,37.384727,14.374572,wikidata,megalithic_monument,utilitarian,,1066.9,Other
Louizos Cave,38.443178,20.635477,megalithic_portal,Cave or Rock Shelter,natural_cave,,1068.4,Other
Taro La Cerca (1),29.1762,-13.49385,megalithic_portal,Cave or Rock Shelter,natural_cave,,1069.4,Other
So-called Grotta Fragapane,37.2901605,13.5896872,pleiades,cemetery,rock_cut_monumental,1650,1073.0,Other
Parco minerario di Floristella-Grottacalda,37.488804,14.351535,wikidata,megalithic_monument,utilitarian,,1078.6,Other
Dougga Numidian Hypogium,36.42155,9.22146,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1079.0,Other
Olenon,38.699138018,21.7417487061,pleiades,"unlocated, settlement",utilitarian,,1079.4,Other
El Harouri Necropolis,36.849475,11.037483,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1081.8,Other
Spathari (quarry),38.690602,21.289298,pleiades,quarry,utilitarian,2350,1085.3,Other
Shortugai,37.323652,69.5256008,pleiades,settlement,utilitarian,3950,1085.3,Other
Kouphi,39.285486,26.05314,pleiades,mine-2,utilitarian,2500,1086.6,Other
Choirospilia,38.618061,20.65508,megalithic_portal,Cave or Rock Shelter,natural_cave,,1087.2,Other
Kastri (Xiromero),38.6730737639,21.0122333961,pleiades,fort-2,utilitarian,2500,1087.6,Other
Spelaion,38.661518,20.749081,pleiades,"sanctuary, cave",natural_cave,2700,1090.5,Other
Omar Kabash,20.240402,33.342538,pleiades,mine-2,utilitarian,2500,1090.7,Egypt / Levant
Arg el-Ghazouni Necropolis,36.947881434,11.0937996,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1091.1,Other
Akripos,38.75,21.25,pleiades,"unlocated, settlement",utilitarian,2500,1092.4,Other
Untitled,36.933601,10.818323,pleiades,quarry,utilitarian,1980,1095.9,Other
Yazılıkaya (Hattusa),40.0254251,34.6327074,pleiades,sanctuary,rock_cut_monumental,3950,1096.6,Other
Untitled,36.946399,10.844502,pleiades,quarry,utilitarian,1980,1096.7,Other
Untitled,36.25,7.75,pleiades,quarry,utilitarian,1980,1097.3,Other
Cave of Dzhebel,39.621991666,54.275586111,wikidata,archaeological_site,natural_cave,,1098.2,Other
Carthage Punic Tomb 1,36.85603,10.33368,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1098.9,Other
Voghjaberd Caves,40.169446,44.652976,megalithic_portal,Cave or Rock Shelter,natural_cave,,1099.6,Other
Sendoukia,39.1363,23.6904,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1099.8,Other
Untitled,36.998701,10.904112,pleiades,quarry,utilitarian,2280,1100.9,Other
Letojanni,37.879504,15.305584,pleiades,quarry,utilitarian,2280,1101.7,Other
Marble quarry near Simitthus,36.4929298436,8.57748845922,pleiades,quarry,utilitarian,1980,1102.4,Other
Cueva de Chinguaro,28.323592134446,-16.39563845388,megalithic_portal,Cave or Rock Shelter,natural_cave,,1104.1,Other
Serakoit,20.263559,35.916573,pleiades,mine,utilitarian,2500,1104.2,Egypt / Levant
Cueva Chacona,28.322181,-16.41163,megalithic_portal,Cave or Rock Shelter,natural_cave,,1104.7,Other
Ghar El Kebir Quarries,37.0595979,10.9961232,pleiades,quarry,utilitarian,1980,1105.3,Other
Cueva de San Blas,28.349483865904,-16.36887,megalithic_portal,Cave or Rock Shelter,natural_cave,,1105.6,Other
Nauarai,20.162602,34.247341,pleiades,mine,utilitarian,2500,1105.7,Egypt / Levant
Gua Cha,5.017,101.77,megalithic_portal,Cave or Rock Shelter,natural_cave,,1106.3,Southeast Asia
Koroneia,39.0583522605,22.5311295116,pleiades,settlement,utilitarian,2700,1107.2,Other
Untitled,36.33523,7.638,pleiades,"settlement, mine-2",utilitarian,1980,1109.2,Other
Herbita,37.7569858,14.1735113,pleiades,settlement,utilitarian,2500,1111.3,Other
Ballıca Cave,40.2272,36.3014,wikidata,megalithic_monument,natural_cave,,1111.6,Other
Kakadu - Madjedbebe,-12.52,132.91,megalithic_portal,Cave or Rock Shelter,natural_cave,,1112.6,Other
