lat,lon,country,site_name,site_type,feature_type,n_dates
48.0419,9.6257,DE,Henauhof Nordwest 2,,,4
54.2944,10.8603,DE,Heringsdorf-Süssau,settlement,settlement,18
49.14,8.21,DE,Herxheim,,,52
48.2546,10.8064,DE,Hexenbergle,,,5
48.8667,11.7667,DE,Hienheim,settlement,settlement,54
47.7641,8.801,DE,"Hilzingen """"Forsterbahnried""""",settlement,settlement,44
52.179,11.4999,DE,Hohenwarsleben,single grave,single grave,16
48.5494,10.1727,DE,Hohlenstein-Stadel,,,25
51.48,7.97,DE,Höingen,,,5
51.0256,9.4226,DE,Holzhausen,single grave,single grave,11
47.6833,9.0,DE,"Hornstaad, Hörnle",settlement,settlement,33
47.6911,8.9991,DE,"Hornstaad, Hörnle I",settlement,settlement,107
52.5391,8.3379,DE,Hunte 1,settlement,settlement,24
49.0555,9.2543,DE,Ilsfeld,enclosure,enclosure,12
51.75,10.0,DE,Imbshausen,settlement,settlement,4
50.85,6.35,DE,Inden 1,,,5
50.8667,6.3667,DE,Inden 3,settlement,settlement,22
50.8491,6.3525,DE,Inden I (= Inden-Lamersdorf),,,11
48.0783,9.1667,DE,Inzigkofen,,,4
48.85,12.7667,DE,Irlbach,,,5
50.4333,7.4667,DE,Irlich,,,6
47.7179,8.9569,DE,Iznang-Unter Eichen,,,11
54.0333,16.742,DE,Jäckelberg-Nord,,,18
54.0647,11.4589,DE,Jäckelberg-Nord (Poel 16),settlement,settlement,10
48.05,8.9667,DE,Jägerhaushöhle,,,5
50.9515,6.4199,DE,Jülich-Welldorf (Hambach 260),settlement,settlement,20
51.9833,13.0667,DE,"Jüterbog-Damm, Fpl. 17",settlement,settlement,4
54.1333,11.6833,DE,KÃ¤gsdorf 72,single grave,single grave,5
48.9167,12.5833,DE,Kagers,,,2
52.6584,11.3949,DE,"Kalbe, Zichtauer Hauichten",,,3
48.0627,9.5929,DE,Kappel-Gemeindebeunden,,,4
50.3833,7.4833,DE,Kärlich,settlement,settlement,12
51.2831,11.65,DE,Karsdorf,grave (flat) inhumation,grave (flat) inhumation,10
50.6667,6.7833,DE,Kartstein,,,10
51.0,2.0241,DE,Kaster,settlement,settlement,17
53.5167,11.8667,DE,Katelbogen,passage grave,passage grave,4
53.1833,8.0333,DE,Kayhausen,miscellaneous,miscellaneous,2
53.7576,10.1327,DE,Kayhude,settlement,settlement,4
52.142,10.5874,DE,Klein Denkte,settlement,settlement,15
54.1167,10.45,DE,Klein Neudorf,settlement,settlement,10
53.7039,12.04,DE,Klein Upahl,passage grave,passage grave,5
54.0223,13.2926,DE,Klein Zastrow,"dolmen, exteed","dolmen, exteed",6
47.6588,7.5469,DE,Kleinkems,,,25
54.1295,10.5008,DE,Klein-Meinsdorf,settlement,settlement,4
50.9833,11.5167,DE,Kleinromstedt,single grave,single grave,8
48.7896,10.6064,DE,Klein-Sorheim,settlement,settlement,2
51.8167,4.1406,DE,Kleinzerbst,settlement,settlement,10
53.3063,7.5884,DE,Kloster Barthe,miscellaneous,miscellaneous,8
47.6994,9.4068,DE,Kluftern-Riedheim Lettenhof,,,4
51.2333,13.4833,DE,Kmehlen,settlement,settlement,4
52.25,13.8167,DE,Kolberg,single grave,single grave,6
50.916,7.0,DE,Köln-Mengenich,settlement,settlement,5
51.822,11.3989,DE,"Königsaue, ehemaliger Gaterslebener See",,,2
48.7312,11.5261,DE,"Konigsaue, Tagebau",,,3
47.9202,9.4472,DE,Königseggsee,,,14
48.5833,4.2339,DE,"Kopfham, Galgenberg",enclosure,enclosure,52
50.9167,6.3167,DE,Koslar 10,enclosure,enclosure,27
51.75,11.9667,DE,Köthen,single grave,single grave,30
51.1333,12.1333,DE,Köttichau,miscellaneous,miscellaneous,4
