name,lat,lon,type,classification,gc_distance_km,source,department,province,district,ubigeo,code
VV.93-4:45,-8.474070446,-78.845734288,Sitio Arqueologico,site,791.66,MinCultura_BIP,,,,131201,
Chualluega 5,-8.077845868333334,-78.03199185333334,Zona Arqueologica,other,791.66,MinCultura_BIP,,,,131007,
Cerro Huaydatape 2.,-8.13130425399993,-78.1414917699999,Sitio Arqueologico,site,791.67,INC_GeoGPSPeru,la libertad,santiago de chuco,santa cruz de chuca,,
Peña El Órgano,-8.161388913076923,-78.20329364384617,Sitio Arqueologico,site,791.68,MinCultura_BIP,,,,131001,
VV.105-2:5,-8.45064081857143,-78.79820730571429,Sitio Arqueologico,site,791.7,MinCultura_BIP,,,,131201,
VV.93-4:51,-8.476517017142857,-78.85183212,Sitio Arqueologico,site,791.71,MinCultura_BIP,,,,131201,
VV.105-2:3,-8.448055601000002,-78.79344805299999,Sitio Arqueologico,site,791.73,MinCultura_BIP,,,,131201,
VV.93-1:2/20,-8.46463392590909,-78.82777901977272,Sitio Arqueologico,site,791.73,MinCultura_BIP,,,,131201,
VV.93-1:49,-8.46815550875,-78.83498512125001,Sitio Arqueologico,site,791.73,MinCultura_BIP,,,,131201,
VV.105-2:17,-8.44401446,-78.78525153166666,Sitio Arqueologico,site,791.73,MinCultura_BIP,,,,131201,
VV.105-2:1,-8.449498672,-78.797357984,Sitio Arqueologico,site,791.77,MinCultura_BIP,,,,131201,
VV.93-1:50,-8.470953012499999,-78.84177452375,Sitio Arqueologico,site,791.78,MinCultura_BIP,,,,131201,
Cerro Huaydatape 1.,-8.13020246799993,-78.1415539769999,Sitio Arqueologico,site,791.78,INC_GeoGPSPeru,la libertad,santiago de chuco,santa cruz de chuca,,
VV.93-4:46,-8.472843848,-78.84634161400001,Sitio Arqueologico,site,791.81,MinCultura_BIP,,,,131201,
Cerro Canraz,-8.272610918947368,-78.43452094947368,Zona Arqueologica,other,791.83,MinCultura_BIP,,,,130504,
El Sangual III,-8.240464798571429,-78.36855664571429,Sitio Arqueologico,site,791.84,MinCultura_BIP,,,,130504,
VV.93-4:50,-8.47412425,-78.8501471,Sitio Arqueologico,site,791.86,MinCultura_BIP,,,,131201,
VV.94-4:11/1,-8.457996929999998,-78.81697106545454,Sitio Arqueologico,site,791.87,MinCultura_BIP,,,,131201,
Minas Blancas 1,-8.03147984,-77.94212077428573,Sitio Arqueologico,site,791.89,MinCultura_BIP,,,,131008,
VV.93-1:22,-8.46605094375,-78.8340379425,Sitio Arqueologico,site,791.89,MinCultura_BIP,,,,131201,
VV.93-1:13,-8.467148626,-78.83715947600001,Sitio Arqueologico,site,791.93,MinCultura_BIP,,,,131201,
NN,-7.82272222499994,-77.5187361049999,Sitio Arqueologico,site,791.95,INC_GeoGPSPeru,la libertad,pataz,pias,,
Cerro Cantera 1.,-8.12464260399992,-78.1346304339999,Sitio Arqueologico,site,792.0,INC_GeoGPSPeru,la libertad,santiago de chuco,santa cruz de chuca,,
El Sangual IB,-8.238119547500002,-78.36737022166666,Sitio Arqueologico,site,792.01,MinCultura_BIP,,,,130504,
Cerro Cantera 2.,-8.12441487299992,-78.1356474739999,Sitio Arqueologico,site,792.07,INC_GeoGPSPeru,la libertad,santiago de chuco,santa cruz de chuca,,
Minas Blancas 2,-8.036271074000002,-77.955772132,Sitio Arqueologico,site,792.08,MinCultura_BIP,,,,131008,
VV.93-4:53,-8.475593068,-78.857883448,Sitio Arqueologico,site,792.09,MinCultura_BIP,,,,131201,
VV.C7-4:2,-8.412856066249999,-78.72927695,Sitio Arqueologico,site,792.13,MinCultura_BIP,,,,131201,
VV.93-1:2/21,-8.463257770833334,-78.8340206475,Sitio Arqueologico,site,792.17,MinCultura_BIP,,,,131201,
VV.93-1:47,-8.467751012,-78.843427968,Sitio Arqueologico,site,792.18,MinCultura_BIP,,,,131201,
Tres Cerros,-8.271610235,-78.43981206625,Zona Arqueologica,other,792.19,MinCultura_BIP,,,,130504,
VV.106-4-3,-8.429342556,-78.76514959600001,Sitio Arqueologico,site,792.22,MinCultura_BIP,,,,131201,
VV.93-1:51,-8.467817389999999,-78.844787274,Sitio Arqueologico,site,792.23,MinCultura_BIP,,,,131201,
Nueva Esperanza,-8.430984734571426,-78.76887140571425,Sitio Arqueologico,site,792.24,MinCultura_BIP,,,,131201,
VV.93-1:41,-8.468223194,-78.84563370599999,Sitio Arqueologico,site,792.24,MinCultura_BIP,,,,131201,
VV.105-2:1,-8.445511792857143,-78.79913521857144,Sitio Arqueologico,site,792.25,MinCultura_BIP,,,,131201,
El Sangual II,-8.23548866,-78.36781463499999,Sitio Arqueologico,site,792.3,MinCultura_BIP,,,,130504,
VV.107-4:1,-8.411439252222223,-78.72971643111111,Sitio Arqueologico,site,792.3,MinCultura_BIP,,,,131201,
VV.93-1:42,-8.465428218749999,-78.84132852625,Sitio Arqueologico,site,792.31,MinCultura_BIP,,,,131201,
VV.105-3:17,-8.455756628333333,-78.82137611666667,Sitio Arqueologico,site,792.31,MinCultura_BIP,,,,131201,
VV.119-3:1,-8.388708436875001,-78.68312052,Sitio Arqueologico,site,792.31,MinCultura_BIP,,,,131201,
VV.93-1:46,-8.465965165,-78.84355496875,Sitio Arqueologico,site,792.36,MinCultura_BIP,,,,131201,
VV.105-3:16,-8.454660988333334,-78.82037150166666,Sitio Arqueologico,site,792.37,MinCultura_BIP,,,,131201,
VV.93-1:25,-8.457961402857142,-78.82749217,Sitio Arqueologico,site,792.38,MinCultura_BIP,,,,131201,
