Longitude,Latitude,Database
-52.6716328,4.0793229,INRAP & DAC
-51.8141816,3.8780043,INRAP & DAC
-52.3386392,4.6663098,INRAP & DAC
-52.3383778,4.6711038,INRAP & DAC
-51.8261863,3.8587157,INRAP & DAC
-53.7948015,4.8660552,INRAP & DAC
-52.6818126,4.0287694,INRAP & DAC
-52.53571,3.168127,INRAP & DAC
-53.6846566,3.1359245,INRAP & DAC
-53.9627645,3.7280043,INRAP & DAC
-66.73208798,-9.763827773,PAST
-67.38922904,-9.873797783,PAST
-67.4757963,-9.916533374,PAST
-68.31417507,-10.66972245,PAST
-67.55695137,-10.29833893,PAST
-66.34408752,-9.811755962,PAST
-67.49983469,-10.30776259,PAST
-67.18776001,-9.56392596,PAST
-68.17944461,-10.71333053,PAST
-67.57543406,-10.0776916,PAST
-66.17667059,-9.651940418,PAST
-67.49944595,-10.30694705,PAST
-67.23225569,-9.855444783,PAST
-66.53611776,-9.79250397,PAST
-67.25305371,-8.843884852,PAST
-67.97572511,-10.58756538,PAST
-67.60083734,-10.36306338,PAST
-67.49861363,-9.962224355,PAST
-68.92564887,-10.86790785,PAST
-67.93099497,-10.46534803,PAST
-67.65145135,-10.2960159,PAST
-67.1583299,-10.21888778,PAST
-67.35119337,-10.1675464,PAST
-66.64305975,-9.793055574,PAST
-67.72024825,-10.18725399,PAST
-66.25609692,-9.582372575,PAST
-67.65430625,-10.20803926,PAST
-67.65858571,-10.098891,PAST
-68.60175281,-9.191578856,PAST
-67.31143047,-10.08789331,PAST
-67.68695269,-10.59583494,PAST
-67.13473026,-10.01972932,PAST
-67.50694603,-10.02500187,PAST
-67.53861464,-9.950285743,PAST
-67.7283398,-10.18611909,PAST
-67.22015244,-10.30693136,PAST
-66.99959629,-9.916806989,PAST
-67.76181099,-9.679156032,PAST
-67.70555902,-9.741667641,PAST
-66.94278629,-10.10556038,PAST
-67.12591728,-9.700755265,PAST
-67.31444457,-10.08723065,PAST
-66.42360622,-9.773397768,PAST
-65.97268561,-9.539059088,PAST
-65.96187615,-9.537145863,PAST
-66.67342282,-9.770300469,PAST
-67.89780381,-10.51676947,PAST
-66.66639756,-9.721928346,PAST
-67.73806173,-10.46750879,PAST
-67.65259598,-10.29523401,PAST
-67.91805601,-10.60472567,PAST
-67.61750652,-10.05805923,PAST
-66.04432423,-9.775642256,PAST
-67.49546851,-10.13161364,PAST
-67.4152828,-10.0672247,PAST
-67.498757,-9.984693501,PAST
-67.69712416,-10.60895199,PAST
-67.51889515,-9.895839952,PAST
-66.90333868,-10.04000623,PAST
-66.41945009,-9.786667231,PAST
-67.13194444,-9.702777772,PAST
-67.59397045,-10.23934103,PAST
-67.24205474,-8.872574977,PAST
-67.7230537,-9.57655197,PAST
-66.16797362,-9.73788402,PAST
-67.68944773,-10.59583629,PAST
-67.42000831,-10.18472942,PAST
-66.40444775,-9.685115787,PAST
-67.06185343,-10.06056904,PAST
-67.49805751,-10.38389245,PAST
-67.59483972,-10.28646195,PAST
-66.69648922,-9.758789687,PAST
-65.93566801,-9.537259501,PAST
-67.28224917,-9.23201314,PAST
-67.38806413,-10.16695241,PAST
-64.28014589,-12.25646922,PAST
-65.38265284,-10.62632086,PAST
-64.02321314,-9.065021504,PAST
-62.33423126,-11.89277713,PAST
-64.36891323,-9.310173603,PAST
-62.36980921,-13.02188877,PAST
-65.33560783,-10.57351769,PAST
-62.85611736,-11.85973927,PAST
-62.79056615,-11.75751637,PAST
-62.71418004,-11.7997281,PAST
-63.14556741,-11.86834777,PAST
-63.01389564,-11.94000899,PAST
-63.50250453,-12.15194521,PAST
-62.59472327,-11.5705594,PAST
-62.23140027,-12.2069454,PAST
-62.20668032,-11.93889954,PAST
-62.10778545,-11.26056003,PAST
-62.27279158,-10.70112754,PAST
-62.26751063,-10.70694823,PAST
-62.88612798,-11.82389557,PAST
-63.8311277,-12.1244508,PAST
-64.96862515,-10.15278153,PAST
-62.59029426,-10.2750061,PAST
-63.9016669,-10.0544552,PAST
-62.25335039,-12.02238285,PAST
-62.41295959,-11.99029054,PAST
-62.1498174,-11.6437547,PAST
